DOWNLOADED URL,CONTENT SIZE,CONTENT TYPE,# OUTGOING LINKS
https://nypost.com/2018/09/28/moms-are-giving-birth-in-fancy-hospital-gowns-now/,269818,text/html; charset=UTF-8,141
https://nypost.com/2018/09/28/will-grace-creators-less-trump-jokes-more-romance-this-season/,268796,text/html; charset=UTF-8,149
https://nypost.com/2018/09/29/jehovahs-witnesses-must-pay-35m-to-sex-abuse-survivor/,259680,text/html; charset=UTF-8,132
https://nypost.com/2018/09/29/pope-asks-for-daily-prayers-to-fight-attacks-by-the-devil/,255387,text/html; charset=UTF-8,131
https://nypost.com/sports/,261163,text/html; charset=UTF-8,158
https://nypost.com/living/,167607,text/html; charset=UTF-8,124
https://nypost.com/video/bar-patrons-thought-this-mans-shirt-was-racist-so-they-beat-him-up/,210372,text/html; charset=UTF-8,98
https://nypost.com/columnists/,205772,text/html; charset=UTF-8,176
https://nypost.com/2018/09/28/playboy-who-slept-with-6000-women-dies-while-having-sex/,265738,text/html; charset=UTF-8,139
https://nypost.com/cover/sept-29-2018-covers/,134859,text/html; charset=UTF-8,94
https://nypost.com/contact/,123193,text/html; charset=UTF-8,104
https://nypost.com/2018/09/28/cuomo-wins-yearlong-fight-to-keep-i%e2%80%89%e2%99%a5%e2%80%89ny-signs-on-highways/,260795,text/html; charset=UTF-8,133
https://nypost.com/2018/09/28/why-we-can-blame-roe-v-wade-for-partisan-chaos/,266196,text/html; charset=UTF-8,134
https://nypost.com/sitemap/,152558,text/html; charset=UTF-8,337
https://nypost.com/2018/09/28/7-new-york-oktoberfests-for-every-kind-of-drinker/,318696,text/html; charset=UTF-8,143
https://nypost.com/2018/09/28/boxing-champ-serena-williams-was-an-olympic-nightmare/,279970,text/html; charset=UTF-8,128
https://nypost.com/2018/09/28/this-little-women-could-be-perfect-hallmark-channel-fare/,258506,text/html; charset=UTF-8,128
https://nypost.com/video/,160286,text/html; charset=UTF-8,118
https://nypost.com/opinion/,170612,text/html; charset=UTF-8,119
https://nypost.com/2018/09/28/the-media-scrutinizes-kavanaugh-but-gives-ted-cruzs-challenger-a-pass/,265720,text/html; charset=UTF-8,132
